Category,Item,Household_1,Household_2,Household_3,Household_4,Household_5,Household_6,Household_7,Household_8,Household_9,Household_10,Household_11
Income,Income from Employment,0,2687,9575,0,0,0,0,0,0,2687,2687
Income,Basic Allowance,494,0,0,360,343,706,0,1409,706,0,0
Income,Maximum Shelter Allowance,756,0,0,697,390,522,0,821,522,0,0
Income,Old Age Security/Guaranteed Income Supplement,0,0,0,0,0,0,1723,0,0,0,0
Income,Ontario Guaranteed Annual Income System,0,0,0,0,0,0,83,0,0,0,0
Income,Canada Child Benefit,1235,1192,248,1235,0,0,0,0,0,1375,0
Income,GST/HST credit,78,78,0,78,26,32,39,51,32,78,39
Income,Ontario Trillium Benefit,201,201,0,164,87,95,133,122,95,164,64
Income,Canada Worker Benefit,0,159,0,0,0,0,0,0,0,159,159
Employment Deduction,Employment Insurance paid,0,-44,-137,0,0,0,0,0,0,-44,-44
Employment Deduction,Canada Pension Plan paid,0,-143,-464,0,0,0,0,0,0,-143,-143
Income,Climate Action Incentive Payment (CAIP),62,62,62,54,31,31,31,47,31,54,31
Income,Pregnancy/Breast-feeding Nutritional Allowance (non-lactose intolerant),0,0,0,0,0,0,0,0,40,0,0
Income,Total,2826,4192,9284,2588,877,1386,2009,2450,1426,4330,2793
Selected Expenses,Average Monthly Rent,4549,4549,4549,3323,2092,2531,2531,2531,2531,3323,2092
Selected Expenses,Food,1177,1177,1177,866,422,422,304,705,401,751,351
Selected Expenses,Childcare,637,637,637,637,0,0,0,0,0,1414,0
Selected Expenses,Transportation,419,882,882,263,156,156,128,775,156,619,619
Selected Expenses,Total,6782,7245,7245,5089,2670,3109,2963,4011,3088,6107,3062
Other,Funds Remaining,-3956,-3053,2039,-2501,-1793,-1723,-954,-1561,-1662,-1777,-269
Other,Percentage of income required for rent,161,109,49,128,239,183,126,103,177,77,75
Other,Percentage of income required to purchase healthy food,42,28,13,33,48,30,15,29,28,17,13
