Income 1,Income 2,Income 3,Income 4,Income 5,Income 6,Income 7,Income 8,Income 9,Expense 1,Expense 2,Income 10,Income 11,Total Income,Expense 3,Expense 4,Expense 5,Expense 6,Total Expenses,Remaining Funds,Other 2,Other 3,Household
0,494,254,0,0,1235,78,169,0,0,0,62,0,2292,254,1177,0,353,1784,508,11,51,Household_1
2687,0,0,0,0,1192,78,169,159,-44,-143,62,0,4160,761,1177,76,849,2863,1297,18,28,Household_2
9575,0,0,0,0,248,0,0,0,-137,-464,62,0,9284,2096,1177,637,849,4759,4525,23,13,Household_3
0,360,226,0,0,1235,78,136,0,0,0,54,0,2089,226,866,0,230,1322,767,11,41,Household_4
0,343,85,0,0,0,26,75,0,0,0,31,0,560,85,422,0,123,630,-70,15,75,Household_5
0,706,109,0,0,0,32,78,0,0,0,31,0,956,109,422,0,123,654,302,11,44,Household_6
0,0,0,1723,83,0,39,117,0,0,0,31,0,1993,542,304,0,128,974,1019,27,15,Household_7
0,1409,199,0,0,0,51,105,0,0,0,47,0,1811,199,705,0,742,1646,165,11,39,Household_8
0,706,109,0,0,0,32,78,0,0,0,31,40,996,109,401,0,123,633,363,11,40,Household_9
2687,0,0,0,0,1375,78,136,159,-44,-143,54,0,4302,761,751,76,619,2207,2095,18,17,Household_10
2687,0,0,0,0,0,39,36,159,-44,-143,31,0,2765,761,351,0,619,1731,1034,28,13,Household_11
